gram_size,복합명사,빈도
2,예술_감독,5241
2,전통_춤,4225
2,현대_무용,4048
2,문화_예술,3452
2,한국_무용,2462
2,지원_사업,1913
2,국립_무용단,1647
2,춤_비평가,1408
3,국립_현대_무용단,1329
2,즉흥_춤,1188
2,한국_전통,1013
2,무형_문화재,953
2,예술_단체,940
2,정기_공연,857
2,예술_교육,848
2,공공_무용단,842
2,국제_교류,837
2,아르코예술극장_극장,809
2,무용_교육,808
2,기획_공연,807
2,커뮤니티_댄스,799
3,한국_춤_비평가,789
2,심사_위원,783
2,문화_재단,782
2,초청_공연,751
3,무용단_예술_감독,743
3,즉흥_춤_축제,690
2,안무_작,682
2,비평가_협회,673
2,국제_즉흥,655
3,춤_비평가_협회,650
2,국립_국악원,628
4,한국_춤_비평가_협회,627
3,국제_즉흥_춤,626
2,댄스_필름,623
4,국제_즉흥_춤_축제,615
2,무용수_움직임,614
2,상_수상,596
2,댄스_페스티벌,591
2,수석_무용수,579
3,문화_체육_관광부,578
2,한국_창작,569
2,예술_분야,561
2,춤_소식,558
2,창작_발레,529
2,민속_춤,526
2,서울시_무용단,523
2,컨템포러리_댄스,519
2,클래식_발레,513
2,대학로 예술극장_극장,507
3,한국_전통_춤,503
2,서울_무용제,502
2,서울_국제,496
3,서울_발레_시어터,495
2,유용_정보,492
2,창작_활동,492
2,춤_유용,491
3,춤_유용_정보,486
2,한국_현대,479
2,공연_관람,467
2,현대_무용가,464
3,대구_시립_무용단,461
2,기회_제공,455
2,댄스_컴퍼니,449
2,금_토,448
2,교육_프로그램,435
2,춤_언어,428
2,남성_무용수,425
2,현대_무용단,425
2,여성_무용수,420
2,무용_전공,418
2,지역_문화,411
2,유니버설_발레단,410
2,무용_분야,410
2,전문_무용수,409
2,고전_발레,394
2,예술_장르,387
2,기념_공연,386
2,춤_비평,384
2,댄스_프로젝트,380
2,무용_역사,376
2,직업_전환,375
2,와이즈_발레단,368
2,공연_준비,363
2,상주_단체,359
2,문화재_지정,358
2,다양_장르,358
2,몸_움직임,357
2,경연_대회,355
2,관객_소통,352
2,무용_사,352
2,무대_장치,351
3,인천_시립_무용단,348
2,전통_현대,341
4,서울_국제_공연_예술제,337
2,해외_진출,337
2,공연_취소,337
3,한국_창작_춤,336
3,서울_국제_즉흥,329
3,대한민국_발레_축제,329
4,서울_국제_즉흥_춤,328
2,문예_회관,326
2,대표_이사,324
5,서울_국제_즉흥_춤_축제,322
2,국가_무형,322
2,지원_신청,320
2,주최_주관,318
3,한국_현대_무용,308
4,서울_세계_무용_축제,307
2,무용_평론가,307
2,국립_극장,305
2,활동_지원,304
2,비평가_상,301
2,우수_작품,300
2,무대_중앙,298
2,공동_제작,297
3,문화_예술_교육,295
2,예술_전당,295
2,일제_강점기,291
3,춤_비평가_상,288
2,남자_무용수,288
3,서울_무용_센터,287
2,무용_스타,287
2,공연_작,284
2,부대_행사,282
2,사업_공모,282
2,음악_감독,278
2,영남_춤,277
2,삶_죽음,276
2,내한_공연,275
2,스트릿_댄스,273
3,국가_무형_문화재,272
2,무대_미술,272
2,창작_과정,271
2,작품_제목,268
2,일반_관객,265
2,순수_예술,263
2,주역_무용수,262
2,자신_몸,262
2,창작_작업,261
2,무대_바닥,259
3,해외_무용_스타,258
2,연극_무용,258
3,부산_국제_무용제,257
2,댄스_씨어터,256
2,감정_표현,256
2,슈투트가르트_발레단,254
2,볼쇼이_발레단,253
2,호두까기_인형,252
2,사업_선정,250
2,여자_무용수,250
2,무대_디자인,248
3,전통_춤_공연,247
3,무용단_정기_공연,246
2,주제_의식,246
2,발레_학교,246
2,시각_예술,246
2,무용_협회,245
2,역사_기록,241
2,인_무,239
3,무형_문화재_지정,238
2,무용_학,237
2,라이브_연주,234
2,궁중_무용,234
2,공공_기관,233
3,광주_시립_발레단,232
2,순회_공연,231
2,무용_부문,231
2,시립_무용단,229
2,작품_완성도,229
2,한국_해외,229
2,개막_공연,227
3,대한민국_무용_대상,226
2,심의_위원,226
2,과거_현재,226
2,모던_댄스,226
2,국공립_무용단,224
2,안무_연출,223
2,현대_사회,222
2,토_오후,220
2,무용수_출연,220
2,예능_보유자,219
2,문화_정책,219
2,댄스_시어터,218
2,관객_참여,218
3,시립_무용단_예술,217
4,시립_무용단_예술_감독,216
2,컨템퍼러리_댄스,216
2,문제_제기,215
2,제주_국제,215
2,신청_접수,214
2,교육_과정,214
2,사단_법인,213
2,무대_객석,213
2,제출_서류,212
2,의상_디자인,212
2,문제_해결,211
4,한국_해외_무용_스타,210
