단어1,단어2,동시출현빈도
공간,의미,1244
공간,구성,1238
공간,표현,1159
공간,과정,1155
공연,작품,4497
공연,무대,4221
공연,예술,3732
공연,관객,3385
공연,무용,3354
공연,한국,3221
공연,안무,3134
공연,다양,3132
공연,무용수,2978
공연,시작,2961
공연,안무가,2881
공연,음악,2714
공연,극장,2661
공연,구성,2645
공연,움직임,2582
공연,창작,2581
공연,활동,2472
공연,세계,2466
공연,말,2428
공연,의미,2399
공연,사람,2370
공연,자신,2363
공연,표현,2335
공연,문화,2275
공연,몸,2177
공연,전통,2131
공연,과정,2120
공연,참여,2093
공연,모습,2092
공연,이야기,2052
공연,작업,2049
공연,대표,1998
공연,공간,1979
공연,이상,1954
공연,프로그램,1898
공연,주제,1886
공연,단체,1838
공연,예술_감독,1824
공연,중심,1799
공연,사회,1792
공연,현대,1770
공연,삶,1746
공연,기획,1732
공연,기대,1707
공연,중요,1677
공연,인간,1651
공연,영상,1647
공연,시대,1642
공연,무용단,1630
공연,발레,1627
공연,예술가,1627
공연,예정,1625
공연,방식,1619
공연,경험,1607
공연,장르,1606
공연,역할,1603
공연,무용가,1596
공연,변화,1565
공연,연출,1556
공연,서울,1554
공연,선정,1553
공연,부분,1548
공연,장면,1517
공연,상황,1517
공연,소개,1514
공연,내용,1503
공연,존재,1494
공연,제작,1482
공연,국내,1469
공연,시도,1453
공연,기회,1448
공연,출연,1444
공연,현대_무용,1439
공연,동작,1436
공연,관심,1433
공연,관계,1427
공연,개인,1418
공연,축제,1409
공연,조명,1404
공연,지원,1401
공연,역사,1398
공연,등장,1393
공연,주목,1384
공연,마음,1376
공연,발전,1374
공연,전체,1361
공연,준비,1348
공연,현실,1327
공연,활용,1325
공연,해석,1324
공연,문제,1318
공연,힘,1317
공연,소리,1300
공연,관람,1296
공연,자연,1291
공연,해외,1284
공연,대상,1282
공연,이해,1281
공연,지역,1281
공연,자유,1276
공연,감각,1276
공연,초청,1270
공연,시각,1254
공연,형식,1251
공연,마련,1246
공연,현장,1240
공연,이미지,1227
공연,동시,1227
공연,댄스,1224
공연,확장,1224
공연,의상,1222
공연,지속,1220
공연,인,1217
공연,노력,1212
공연,이유,1212
공연,눈,1211
공연,집중,1211
공연,흐름,1200
공연,프로젝트,1200
공연,국제,1197
공연,발표,1190
공연,형태,1187
공연,행사,1179
공연,사랑,1176
공연,여성,1173
공연,대중,1166
공연,제공,1162
공연,초연,1160
공연,연결,1157
공연,방법,1155
공연,이름,1154
공연,개최,1148
공연,운영,1127
공연,신작,1127
공연,감정,1124
과정,모습,1146
관객,다양,2272
관객,시작,2223
관객,안무가,2166
관객,움직임,2067
관객,음악,1998
관객,극장,1945
관객,구성,1910
관객,말,1856
관객,자신,1839
관객,의미,1819
관객,세계,1810
관객,사람,1808
관객,표현,1789
관객,몸,1744
관객,창작,1679
관객,모습,1642
관객,이야기,1631
관객,작업,1602
관객,활동,1601
관객,공간,1577
관객,과정,1576
관객,문화,1437
관객,주제,1428
관객,참여,1414
관객,전통,1410
관객,이상,1394
관객,대표,1376
관객,기대,1348
관객,현대,1330
관객,중심,1327
관객,삶,1321
관객,인간,1318
관객,예술_감독,1294
관객,장면,1294
관객,방식,1286
관객,프로그램,1277
관객,경험,1276
관객,중요,1264
관객,사회,1240
관객,부분,1239
관객,역할,1235
관객,연출,1233
관객,장르,1215
관객,존재,1215
관객,변화,1208
관객,상황,1200
관객,단체,1196
관객,발레,1187
관객,영상,1177
관객,동작,1177
관객,시도,1171
관객,시대,1149
관객,등장,1138
관객,기획,1138
관객,예술가,1129
관객,무용단,1128
관객,관계,1116
구성,의미,1482
구성,표현,1480
구성,과정,1330
구성,모습,1313
구성,주제,1185
구성,이야기,1183
구성,참여,1172
구성,중심,1155
구성,대표,1149
구성,이상,1125
극장,다양,1672
극장,시작,1663
극장,구성,1475
극장,창작,1413
극장,세계,1401
극장,자신,1375
극장,의미,1351
극장,활동,1351
극장,표현,1317
극장,작업,1284
극장,공간,1273
극장,문화,1230
극장,모습,1220
극장,과정,1210
극장,이야기,1184
극장,참여,1141
극장,주제,1115
다양,시작,2076
다양,구성,1878
다양,세계,1714
다양,의미,1697
다양,표현,1657
다양,자신,1641
다양,과정,1546
다양,참여,1507
다양,모습,1453
다양,공간,1445
다양,이야기,1424
다양,주제,1417
다양,대표,1406
다양,프로그램,1385
다양,중심,1329
다양,장르,1304
다양,사회,1298
다양,이상,1287
다양,현대,1263
다양,삶,1249
다양,경험,1246
다양,방식,1240
다양,단체,1235
다양,중요,1235
다양,기대,1214
다양,변화,1199
다양,예술_감독,1197
다양,시대,1193
다양,기획,1190
다양,인간,1186
다양,예술가,1173
다양,역할,1164
다양,영상,1152
다양,소개,1125
다양,부분,1120
다양,시도,1118
말,시작,1916
말,자신,1763
말,다양,1668
말,의미,1637
말,세계,1527
말,표현,1493
말,구성,1442
말,모습,1439
말,극장,1420
말,활동,1416
말,과정,1412
말,작업,1399
말,이야기,1355
말,창작,1321
말,중요,1278
말,공간,1267
말,문화,1265
말,사회,1223
말,부분,1200
말,방식,1200
말,이상,1185
말,상황,1185
말,삶,1165
말,중심,1154
말,존재,1149
말,시대,1127
말,역할,1126
말,주제,1118
몸,움직임,1713
몸,시작,1676
몸,말,1582
몸,자신,1531
몸,다양,1508
몸,사람,1498
몸,의미,1468
몸,음악,1426
몸,표현,1423
몸,구성,1354
몸,과정,1310
몸,세계,1290
몸,작업,1290
몸,극장,1282
몸,모습,1254
몸,공간,1233
몸,이야기,1176
몸,인간,1154
몸,창작,1151
몸,활동,1148
몸,삶,1143
무대,관객,3097
무대,예술,2919
무대,안무,2902
무대,무용수,2757
무대,다양,2678
무대,한국,2667
무대,무용,2654
무대,시작,2600
무대,안무가,2599
무대,음악,2469
무대,움직임,2438
무대,구성,2357
무대,극장,2338
무대,세계,2224
무대,표현,2202
무대,의미,2196
무대,자신,2179
무대,말,2178
무대,사람,2133
무대,창작,2071
무대,몸,2059
무대,모습,1991
무대,활동,1961
무대,이야기,1911
무대,과정,1851
무대,작업,1827
무대,전통,1812
무대,공간,1773
무대,이상,1738
무대,문화,1734
무대,주제,1680
무대,대표,1673
무대,삶,1637
무대,예술_감독,1626
무대,참여,1618
무대,현대,1612
무대,인간,1599
무대,중심,1553
무대,기대,1528
무대,장면,1499
무대,연출,1495
무대,발레,1479
무대,시대,1479
무대,사회,1478
무대,방식,1460
무대,중요,1460
무대,영상,1448
무대,프로그램,1439
무대,무용단,1426
무대,단체,1418
무대,존재,1413
무대,역할,1413
무대,조명,1410
무대,부분,1408
무대,장르,1397
무대,변화,1395
무대,동작,1391
무대,경험,1387
무대,기획,1372
무대,등장,1363
무대,상황,1340
무대,시도,1315
무대,무용가,1307
무대,출연,1307
무대,마음,1280
무대,관계,1275
무대,예술가,1269
무대,예정,1268
무대,현대_무용,1268
무대,주목,1265
무대,소개,1264
무대,해석,1262
무대,감각,1252
무대,전체,1251
무대,의상,1249
무대,현실,1244
무대,소리,1237
무대,힘,1236
무대,개인,1227
무대,선정,1225
무대,자연,1216
무대,이미지,1201
무대,제작,1200
무대,기회,1200
무대,서울,1196
무대,역사,1191
무대,내용,1190
무대,국내,1182
무대,관심,1180
무대,시각,1174
무대,형식,1157
무대,동시,1152
무대,문제,1149
무대,눈,1138
무대,자유,1137
무대,관람,1136
무대,활용,1135
무대,이해,1127
무대,발전,1124
무대,확장,1123
무대,준비,1121
무대,감정,1120
무용,예술,2827
무용,한국,2372
무용,다양,2246
무용,관객,2155
무용,무용수,2121
무용,안무,2095
무용,안무가,2087
무용,시작,2075
무용,활동,1930
무용,창작,1905
무용,음악,1853
무용,극장,1800
무용,말,1761
무용,세계,1759
무용,구성,1751
무용,움직임,1725
무용,자신,1674
무용,문화,1656
무용,사람,1652
무용,의미,1647
무용,참여,1585
무용,표현,1576
무용,과정,1556
무용,전통,1548
무용,몸,1528
무용,작업,1492
무용,대표,1453
무용,프로그램,1438
무용,단체,1423
무용,무용가,1413
무용,이야기,1412
무용,이상,1371
무용,공간,1367
무용,주제,1364
무용,중심,1343
무용,사회,1343
무용,모습,1331
무용,예술가,1325
무용,중요,1297
무용,예술_감독,1296
무용,무용단,1295
무용,현대,1273
무용,장르,1269
무용,기획,1246
무용,선정,1245
무용,기대,1230
무용,경험,1230
무용,서울,1197
무용,현대_무용,1185
무용,시대,1179
무용,방식,1179
무용,소개,1177
무용,삶,1168
무용,기회,1163
무용,영상,1152
무용,내용,1152
무용,발전,1150
무용,지원,1148
무용,예정,1145
무용,관심,1145
무용,역할,1139
무용,발레,1129
무용,변화,1123
무용,인간,1123
무용수,관객,2289
무용수,안무,2277
무용수,안무가,2216
무용수,움직임,1987
무용수,다양,1974
무용수,한국,1919
무용수,시작,1908
무용수,음악,1799
